biotin    	  0.0	   0.5	infant   	female	AI 	    5.000	ug	/day   
fat       	 19.0	  30.0	pregnant 	female	AMDR-hi	   35.000	pct	Energy 
fat       	 19.0	  30.0	pregnant 	female	AMDR-lo	   20.000	pct	Energy 
fat       	 19.0	  30.0	typical  	female	AI 	         	g 	/day   
fat       	 19.0	  30.0	typical  	female	AMDR-hi	   35.000	pct	Energy 
fat       	 19.0	  30.0	typical  	female	AMDR-lo	   20.000	pct	Energy 
fat       	 19.0	  30.0	typical  	male  	AI 	         	g 	/day   
fat       	 19.0	  30.0	typical  	male  	AMDR-hi	   35.000	pct	Energy 
fat       	 19.0	  30.0	typical  	male  	AMDR-lo	   20.000	pct	Energy 
fat       	 31.0	  50.0	lactating	female	AI 	         	g 	/day   
fat       	 31.0	  50.0	lactating	female	AMDR-hi	   35.000	pct	Energy 
fat       	 31.0	  50.0	lactating	female	AMDR-lo	   20.000	pct	Energy 
fat       	 31.0	  50.0	typical  	female	AI 	         	g 	/day   
fat       	 31.0	  50.0	typical  	female	AMDR-hi	   35.000	pct	Energy 
fat       	 31.0	  50.0	typical  	female	AMDR-lo	   20.000	pct	Energy 
fat       	 31.0	  50.0	typical  	male  	AI 	         	g 	/day   
fat       	 31.0	  50.0	typical  	male  	AMDR-hi	   35.000	pct	Energy 
fat       	 31.0	  50.0	typical  	male  	AMDR-lo	   20.000	pct	Energy 
fat       	 51.0	  70.0	typical  	female	AI 	         	g 	/day   
fat       	 51.0	  70.0	typical  	female	AMDR-hi	   35.000	pct	Energy 
fat       	 51.0	  70.0	typical  	female	AMDR-lo	   20.000	pct	Energy 
fat       	 51.0	  70.0	typical  	male  	AI 	         	g 	/day   
fat       	 51.0	  70.0	typical  	male  	AMDR-hi	   35.000	pct	Energy 
fat       	 51.0	  70.0	typical  	male  	AMDR-lo	   20.000	pct	Energy 
fat       	 61.0	  50.0	pregnant 	female	AI 	         	g 	/day   
fat       	 61.0	  50.0	pregnant 	female	AMDR-hi	   35.000	pct	Energy 
fat       	 61.0	  50.0	pregnant 	female	AMDR-lo	   20.000	pct	Energy 
fat       	 70.0	 120.0	typical  	female	AI 	         	g 	/day   
fat       	 70.0	 120.0	typical  	female	AMDR-hi	   35.000	pct	Energy 
fat       	 70.0	 120.0	typical  	female	AMDR-lo	   20.000	pct	Energy 
fat       	 70.0	 120.0	typical  	male  	AI 	         	g 	/day   
fat       	 70.0	 120.0	typical  	male  	AMDR-hi	   35.000	pct	Energy 
fat       	 70.0	 120.0	typical  	male  	AMDR-lo	   20.000	pct	Energy 
fat_n3_alph	  1.0	   3.0	child    	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	  1.0	   3.0	child    	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	  1.0	   3.0	child    	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	  1.0	   3.0	child    	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	  4.0	   8.0	child    	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	  4.0	   8.0	child    	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	  4.0	   8.0	child    	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	  4.0	   8.0	child    	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	  9.0	  13.0	typical  	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	  9.0	  13.0	typical  	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	  9.0	  13.0	typical  	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	  9.0	  13.0	typical  	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 14.0	  18.0	lactating	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 14.0	  18.0	lactating	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 14.0	  18.0	pregnant 	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 14.0	  18.0	pregnant 	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 14.0	  18.0	typical  	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 14.0	  18.0	typical  	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 14.0	  18.0	typical  	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 14.0	  18.0	typical  	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 19.0	  30.0	lactating	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 19.0	  30.0	lactating	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 19.0	  30.0	pregnant 	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 19.0	  30.0	pregnant 	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 19.0	  30.0	typical  	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 19.0	  30.0	typical  	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 19.0	  30.0	typical  	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 19.0	  30.0	typical  	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 31.0	  50.0	lactating	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 31.0	  50.0	lactating	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 31.0	  50.0	typical  	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 31.0	  50.0	typical  	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 31.0	  50.0	typical  	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 31.0	  50.0	typical  	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 51.0	  70.0	typical  	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 51.0	  70.0	typical  	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 51.0	  70.0	typical  	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 51.0	  70.0	typical  	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 61.0	  50.0	pregnant 	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 61.0	  50.0	pregnant 	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 70.0	 120.0	typical  	female	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 70.0	 120.0	typical  	female	AMDR-lo	    0.600	pct	Energy 
fat_n3_alph	 70.0	 120.0	typical  	male  	AMDR-hi	    1.200	pct	Energy 
fat_n3_alph	 70.0	 120.0	typical  	male  	AMDR-lo	    0.600	pct	Energy 
fat_n3alph	  0.0	   0.5	infant   	female	AI 	    0.500	g 	/day   
fat_n3alph	  0.0	   0.5	infant   	male  	AI 	    0.500	g 	/day   
fat_n3alph	  0.5	   1.0	infant   	female	AI 	    0.500	g 	/day   
fat_n3alph	  0.5	   1.0	infant   	male  	AI 	    0.500	g 	/day   
fat_n3alph	  1.0	   3.0	child    	female	AI 	    0.700	g 	/day   
fat_n3alph	  1.0	   3.0	child    	male  	AI 	    0.700	g 	/day   
fat_n3alph	  4.0	   8.0	child    	female	AI 	    0.900	g 	/day   
fat_n3alph	  4.0	   8.0	child    	male  	AI 	    0.900	g 	/day   
fat_n3alph	  9.0	  13.0	typical  	female	AI 	    1.000	g 	/day   
fat_n3alph	  9.0	  13.0	typical  	male  	AI 	    1.200	g 	/day   
fat_n3alph	 14.0	  18.0	lactating	female	AI 	    1.300	g 	/day   
fat_n3alph	 14.0	  18.0	pregnant 	female	AI 	    1.400	g 	/day   
fat_n3alph	 14.0	  18.0	typical  	female	AI 	    1.100	g 	/day   
fat_n3alph	 14.0	  18.0	typical  	male  	AI 	    1.600	g 	/day   
fat_n3alph	 19.0	  30.0	lactating	female	AI 	    1.300	g 	/day   
fat_n3alph	 19.0	  30.0	pregnant 	female	AI 	    1.400	g 	/day   
fat_n3alph	 19.0	  30.0	typical  	female	AI 	    1.100	g 	/day   
fat_n3alph	 19.0	  30.0	typical  	male  	AI 	    1.600	g 	/day   
fat_n3alph	 31.0	  50.0	lactating	female	AI 	    1.300	g 	/day   
fat_n3alph	 31.0	  50.0	typical  	female	AI 	    1.100	g 	/day   
fat_n3alph	 31.0	  50.0	typical  	male  	AI 	    1.600	g 	/day   
fat_n3alph	 51.0	  70.0	typical  	female	AI 	    1.100	g 	/day   
fat_n3alph	 51.0	  70.0	typical  	male  	AI 	    1.600	g 	/day   
fat_n3alph	 61.0	  50.0	pregnant 	female	AI 	    1.400	g 	/day   
fat_n3alph	 70.0	 120.0	typical  	female	AI 	    1.100	g 	/day   
fat_n3alph	 70.0	 120.0	typical  	male  	AI 	    1.600	g 	/day   
fat_n6_lnlc	  1.0	   3.0	child    	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	  1.0	   3.0	child    	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	  1.0	   3.0	child    	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	  1.0	   3.0	child    	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	  4.0	   8.0	child    	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	  4.0	   8.0	child    	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	  4.0	   8.0	child    	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	  4.0	   8.0	child    	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	  9.0	  13.0	typical  	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	  9.0	  13.0	typical  	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	  9.0	  13.0	typical  	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	  9.0	  13.0	typical  	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	lactating	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	lactating	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	pregnant 	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	pregnant 	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	typical  	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	typical  	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	typical  	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 14.0	  18.0	typical  	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	lactating	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	lactating	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	pregnant 	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	pregnant 	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	typical  	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	typical  	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	typical  	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 19.0	  30.0	typical  	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 31.0	  50.0	lactating	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 31.0	  50.0	lactating	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 31.0	  50.0	typical  	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 31.0	  50.0	typical  	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 31.0	  50.0	typical  	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 31.0	  50.0	typical  	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 51.0	  70.0	typical  	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 51.0	  70.0	typical  	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 51.0	  70.0	typical  	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 51.0	  70.0	typical  	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 61.0	  50.0	pregnant 	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 61.0	  50.0	pregnant 	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 70.0	 120.0	typical  	female	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 70.0	 120.0	typical  	female	AMDR-lo	    5.000	pct	Energy 
fat_n6_lnlc	 70.0	 120.0	typical  	male  	AMDR-hi	   10.000	pct	Energy 
fat_n6_lnlc	 70.0	 120.0	typical  	male  	AMDR-lo	    5.000	pct	Energy 
fat_n6lnlc	  0.0	   0.5	infant   	female	AI 	    4.400	g 	/day   
fat_n6lnlc	  0.0	   0.5	infant   	male  	AI 	    4.400	g 	/day   
fat_n6lnlc	  0.5	   1.0	infant   	female	AI 	    4.600	g 	/day   
fat_n6lnlc	  0.5	   1.0	infant   	male  	AI 	    4.600	g 	/day   
fat_n6lnlc	  1.0	   3.0	child    	female	AI 	    7.000	g 	/day   
fat_n6lnlc	  1.0	   3.0	child    	male  	AI 	    7.000	g 	/day   
fat_n6lnlc	  4.0	   8.0	child    	female	AI 	   10.000	g 	/day   
fat_n6lnlc	  4.0	   8.0	child    	male  	AI 	   10.000	g 	/day   
fat_n6lnlc	  9.0	  13.0	typical  	female	AI 	   10.000	g 	/day   
fat_n6lnlc	  9.0	  13.0	typical  	male  	AI 	   12.000	g 	/day   
fat_n6lnlc	 14.0	  18.0	lactating	female	AI 	   13.000	g 	/day   
fat_n6lnlc	 14.0	  18.0	pregnant 	female	AI 	   13.000	g 	/day   
fat_n6lnlc	 14.0	  18.0	typical  	female	AI 	   11.000	g 	/day   
fat_n6lnlc	 14.0	  18.0	typical  	male  	AI 	   16.000	g 	/day   
fat_n6lnlc	 19.0	  30.0	lactating	female	AI 	   13.000	g 	/day   
fat_n6lnlc	 19.0	  30.0	pregnant 	female	AI 	   13.000	g 	/day   
fat_n6lnlc	 19.0	  30.0	typical  	female	AI 	   12.000	g 	/day   
fat_n6lnlc	 19.0	  30.0	typical  	male  	AI 	   17.000	g 	/day   
fat_n6lnlc	 31.0	  50.0	lactating	female	AI 	   13.000	g 	/day   
fat_n6lnlc	 31.0	  50.0	typical  	female	AI 	   12.000	g 	/day   
fat_n6lnlc	 31.0	  50.0	typical  	male  	AI 	   17.000	g 	/day   
fat_n6lnlc	 51.0	  70.0	typical  	female	AI 	   11.000	g 	/day   
fat_n6lnlc	 51.0	  70.0	typical  	male  	AI 	   14.000	g 	/day   
fat_n6lnlc	 61.0	  50.0	pregnant 	female	AI 	   13.000	g 	/day   
fat_n6lnlc	 70.0	 120.0	typical  	female	AI 	   11.000	g 	/day   
fat_n6lnlc	 70.0	 120.0	typical  	male  	AI 	   14.000	g 	/day   
fat_sat   	  1.0	   3.0	child    	female	AMDR	         	pct	Energy 
fat_sat   	  1.0	   3.0	child    	female	LU 	    0.000	pct	Energy 
fat_sat   	  1.0	   3.0	child    	male  	AMDR	         	pct	Energy 
fat_sat   	  1.0	   3.0	child    	male  	LU 	    0.000	pct	Energy 
fat_sat   	  4.0	   8.0	child    	female	AMDR	         	pct	Energy 
fat_sat   	  4.0	   8.0	child    	female	LU 	    0.000	pct	Energy 
fat_sat   	  4.0	   8.0	child    	male  	AMDR	         	pct	Energy 
fat_sat   	  4.0	   8.0	child    	male  	LU 	    0.000	pct	Energy 
fat_sat   	  9.0	  13.0	typical  	female	AMDR	         	pct	Energy 
fat_sat   	  9.0	  13.0	typical  	female	LU 	    0.000	pct	Energy 
fat_sat   	  9.0	  13.0	typical  	male  	AMDR	         	pct	Energy 
fat_sat   	  9.0	  13.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_sat   	 14.0	  18.0	lactating	female	AMDR	         	pct	Energy 
fat_sat   	 14.0	  18.0	lactating	female	LU 	    0.000	pct	Energy 
fat_sat   	 14.0	  18.0	pregnant 	female	AMDR	         	pct	Energy 
fat_sat   	 14.0	  18.0	pregnant 	female	LU 	    0.000	pct	Energy 
fat_sat   	 14.0	  18.0	typical  	female	AMDR	         	pct	Energy 
fat_sat   	 14.0	  18.0	typical  	female	LU 	    0.000	pct	Energy 
fat_sat   	 14.0	  18.0	typical  	male  	AMDR	         	pct	Energy 
fat_sat   	 14.0	  18.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_sat   	 19.0	  30.0	lactating	female	AMDR	         	pct	Energy 
fat_sat   	 19.0	  30.0	lactating	female	LU 	    0.000	pct	Energy 
fat_sat   	 19.0	  30.0	pregnant 	female	AMDR	         	pct	Energy 
fat_sat   	 19.0	  30.0	pregnant 	female	LU 	    0.000	pct	Energy 
fat_sat   	 19.0	  30.0	typical  	female	AMDR	         	pct	Energy 
fat_sat   	 19.0	  30.0	typical  	female	LU 	    0.000	pct	Energy 
fat_sat   	 19.0	  30.0	typical  	male  	AMDR	         	pct	Energy 
fat_sat   	 19.0	  30.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_sat   	 31.0	  50.0	lactating	female	AMDR	         	pct	Energy 
fat_sat   	 31.0	  50.0	lactating	female	LU 	    0.000	pct	Energy 
fat_sat   	 31.0	  50.0	typical  	female	AMDR	         	pct	Energy 
fat_sat   	 31.0	  50.0	typical  	female	LU 	    0.000	pct	Energy 
fat_sat   	 31.0	  50.0	typical  	male  	AMDR	         	pct	Energy 
fat_sat   	 31.0	  50.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_sat   	 51.0	  70.0	typical  	female	AMDR	         	pct	Energy 
fat_sat   	 51.0	  70.0	typical  	female	LU 	    0.000	pct	Energy 
fat_sat   	 51.0	  70.0	typical  	male  	AMDR	         	pct	Energy 
fat_sat   	 51.0	  70.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_sat   	 61.0	  50.0	pregnant 	female	AMDR	         	pct	Energy 
fat_sat   	 61.0	  50.0	pregnant 	female	LU 	    0.000	pct	Energy 
fat_sat   	 70.0	 120.0	typical  	female	AMDR	         	pct	Energy 
fat_sat   	 70.0	 120.0	typical  	female	LU 	    0.000	pct	Energy 
fat_sat   	 70.0	 120.0	typical  	male  	AMDR	         	pct	Energy 
fat_sat   	 70.0	 120.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_trans 	  1.0	   3.0	child    	female	AMDR	         	pct	Energy 
fat_trans 	  1.0	   3.0	child    	female	LU 	    0.000	pct	Energy 
fat_trans 	  1.0	   3.0	child    	male  	AMDR	         	pct	Energy 
fat_trans 	  1.0	   3.0	child    	male  	LU 	    0.000	pct	Energy 
fat_trans 	  4.0	   8.0	child    	female	AMDR	         	pct	Energy 
fat_trans 	  4.0	   8.0	child    	female	LU 	    0.000	pct	Energy 
fat_trans 	  4.0	   8.0	child    	male  	AMDR	         	pct	Energy 
fat_trans 	  4.0	   8.0	child    	male  	LU 	    0.000	pct	Energy 
fat_trans 	  9.0	  13.0	typical  	female	AMDR	         	pct	Energy 
fat_trans 	  9.0	  13.0	typical  	female	LU 	    0.000	pct	Energy 
fat_trans 	  9.0	  13.0	typical  	male  	AMDR	         	pct	Energy 
fat_trans 	  9.0	  13.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_trans 	 14.0	  18.0	lactating	female	AMDR	         	pct	Energy 
fat_trans 	 14.0	  18.0	lactating	female	LU 	    0.000	pct	Energy 
fat_trans 	 14.0	  18.0	pregnant 	female	AMDR	         	pct	Energy 
fat_trans 	 14.0	  18.0	pregnant 	female	LU 	    0.000	pct	Energy 
fat_trans 	 14.0	  18.0	typical  	female	AMDR	         	pct	Energy 
fat_trans 	 14.0	  18.0	typical  	female	LU 	    0.000	pct	Energy 
fat_trans 	 14.0	  18.0	typical  	male  	AMDR	         	pct	Energy 
fat_trans 	 14.0	  18.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_trans 	 19.0	  30.0	lactating	female	AMDR	         	pct	Energy 
fat_trans 	 19.0	  30.0	lactating	female	LU 	    0.000	pct	Energy 
fat_trans 	 19.0	  30.0	pregnant 	female	AMDR	         	pct	Energy 
fat_trans 	 19.0	  30.0	pregnant 	female	LU 	    0.000	pct	Energy 
fat_trans 	 19.0	  30.0	typical  	female	AMDR	         	pct	Energy 
fat_trans 	 19.0	  30.0	typical  	female	LU 	    0.000	pct	Energy 
fat_trans 	 19.0	  30.0	typical  	male  	AMDR	         	pct	Energy 
fat_trans 	 19.0	  30.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_trans 	 31.0	  50.0	lactating	female	AMDR	         	pct	Energy 
fat_trans 	 31.0	  50.0	lactating	female	LU 	    0.000	pct	Energy 
fat_trans 	 31.0	  50.0	typical  	female	AMDR	         	pct	Energy 
fat_trans 	 31.0	  50.0	typical  	female	LU 	    0.000	pct	Energy 
fat_trans 	 31.0	  50.0	typical  	male  	AMDR	         	pct	Energy 
fat_trans 	 31.0	  50.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_trans 	 51.0	  70.0	typical  	female	AMDR	         	pct	Energy 
fat_trans 	 51.0	  70.0	typical  	female	LU 	    0.000	pct	Energy 
fat_trans 	 51.0	  70.0	typical  	male  	AMDR	         	pct	Energy 
fat_trans 	 51.0	  70.0	typical  	male  	LU 	    0.000	pct	Energy 
fat_trans 	 61.0	  50.0	pregnant 	female	AMDR	         	pct	Energy 
fat_trans 	 61.0	  50.0	pregnant 	female	LU 	    0.000	pct	Energy 
fat_trans 	 70.0	 120.0	typical  	female	AMDR	         	pct	Energy 
fat_trans 	 70.0	 120.0	typical  	female	LU 	    0.000	pct	Energy 
fat_trans 	 70.0	 120.0	typical  	male  	AMDR	         	pct	Energy 
fat_trans 	 70.0	 120.0	typical  	male  	LU 	    0.000	pct	Energy 
fluoride  	  0.0	   0.5	infant   	female	AI 	    0.010	mg	/day   
fluoride  	  0.0	   0.5	infant   	male  	AI 	    0.010	mg	/day   
fluoride  	  0.5	   1.0	infant   	female	AI 	    0.500	mg	/day   
fluoride  	  0.5	   1.0	infant   	male  	AI 	    0.500	mg	/day   
fluoride  	  1.0	   3.0	child    	female	AI 	    0.700	mg	/day   
fluoride  	  1.0	   3.0	child    	male  	AI 	    0.700	mg	/day   
fluoride  	  4.0	   8.0	child    	female	AI 	    1.000	mg	/day   
fluoride  	  4.0	   8.0	child    	male  	AI 	    1.000	mg	/day   
fluoride  	  9.0	  13.0	typical  	female	AI 	    2.000	mg	/day   
fluoride  	  9.0	  13.0	typical  	male  	AI 	    2.000	mg	/day   
fluoride  	 14.0	  18.0	lactating	female	AI 	    3.000	mg	/day   
fluoride  	 14.0	  18.0	pregnant 	female	AI 	    3.000	mg	/day   
fluoride  	 14.0	  18.0	typical  	female	AI 	    3.000	mg	/day   
fluoride  	 14.0	  18.0	typical  	male  	AI 	    3.000	mg	/day   
fluoride  	 19.0	  30.0	lactating	female	AI 	    3.000	mg	/day   
fluoride  	 19.0	  30.0	pregnant 	female	AI 	    3.000	mg	/day   
fluoride  	 19.0	  30.0	typical  	female	AI 	    3.000	mg	/day   
fluoride  	 19.0	  30.0	typical  	male  	AI 	    4.000	mg	/day   
fluoride  	 31.0	  50.0	lactating	female	AI 	    3.000	mg	/day   
fluoride  	 31.0	  50.0	pregnant 	female	AI 	    3.000	mg	/day   
fluoride  	 31.0	  50.0	typical  	female	AI 	    3.000	mg	/day   
fluoride  	 31.0	  50.0	typical  	male  	AI 	    4.000	mg	/day   
fluoride  	 51.0	  70.0	typical  	female	AI 	    3.000	mg	/day   
fluoride  	 51.0	  70.0	typical  	male  	AI 	    4.000	mg	/day   
fluoride  	 70.0	 120.0	typical  	female	AI 	    3.000	mg	/day   
fluoride  	 70.0	 120.0	typical  	male  	AI 	    4.000	mg	/day   
folate    	  1.0	   3.0	child    	female	EAR	  120.000	ug	/day   
folate    	  1.0	   3.0	child    	female	RDA	  150.000	ug	/day   
folate    	  1.0	   3.0	child    	male  	EAR	  120.000	ug	/day   
folate    	  1.0	   3.0	child    	male  	RDA	  150.000	ug	/day   
folate    	  4.0	   8.0	child    	female	EAR	  160.000	ug	/day   
folate    	  4.0	   8.0	child    	female	RDA	  200.000	ug	/day   
folate    	  4.0	   8.0	child    	male  	EAR	  160.000	ug	/day   
folate    	  4.0	   8.0	child    	male  	RDA	  200.000	ug	/day   
folate    	  9.0	  13.0	typical  	female	EAR	  250.000	ug	/day   
folate    	  9.0	  13.0	typical  	female	RDA	  300.000	ug	/day   
folate    	  9.0	  13.0	typical  	male  	EAR	  250.000	ug	/day   
folate    	  9.0	  13.0	typical  	male  	RDA	  300.000	ug	/day   
folate    	 14.0	  18.0	lactating	female	EAR	  450.000	ug	/day   
folate    	 14.0	  18.0	lactating	female	RDA	  500.000	ug	/day   
folate    	 14.0	  18.0	pregnant 	female	EAR	  520.000	ug	/day   
folate    	 14.0	  18.0	pregnant 	female	RDA	  600.000	ug	/day   
folate    	 14.0	  18.0	typical  	female	EAR	  330.000	ug	/day   
folate    	 14.0	  18.0	typical  	female	RDA	  400.000	ug	/day   
folate    	 14.0	  18.0	typical  	male  	EAR	  330.000	ug	/day   
folate    	 14.0	  18.0	typical  	male  	RDA	  400.000	ug	/day   
folate    	 19.0	  30.0	lactating	female	EAR	  450.000	ug	/day   
folate    	 19.0	  30.0	lactating	female	RDA	  500.000	ug	/day   
folate    	 19.0	  30.0	pregnant 	female	EAR	  520.000	ug	/day   
folate    	 19.0	  30.0	pregnant 	female	RDA	  600.000	ug	/day   
folate    	 19.0	  30.0	typical  	female	EAR	  320.000	ug	/day   
folate    	 19.0	  30.0	typical  	female	RDA	  400.000	ug	/day   
folate    	 19.0	  30.0	typical  	male  	EAR	  320.000	ug	/day   
folate    	 19.0	  30.0	typical  	male  	RDA	  400.000	ug	/day   
folate    	 31.0	  50.0	lactating	female	EAR	  450.000	ug	/day   
folate    	 31.0	  50.0	lactating	female	RDA	  500.000	ug	/day   
folate    	 31.0	  50.0	pregnant 	female	EAR	  520.000	ug	/day   
folate    	 31.0	  50.0	pregnant 	female	RDA	  600.000	ug	/day   
folate    	 31.0	  50.0	typical  	female	EAR	  320.000	ug	/day   
folate    	 31.0	  50.0	typical  	female	RDA	  400.000	ug	/day   
folate    	 31.0	  50.0	typical  	male  	EAR	  320.000	ug	/day   
folate    	 31.0	  50.0	typical  	male  	RDA	  400.000	ug	/day   
folate    	 51.0	  70.0	typical  	female	EAR	  320.000	ug	/day   
folate    	 51.0	  70.0	typical  	female	RDA	  400.000	ug	/day   
folate    	 51.0	  70.0	typical  	male  	EAR	  320.000	ug	/day   
folate    	 51.0	  70.0	typical  	male  	RDA	  400.000	ug	/day   
folate    	 70.0	 120.0	typical  	female	EAR	  320.000	ug	/day   
folate    	 70.0	 120.0	typical  	female	RDA	  400.000	ug	/day   
folate    	 70.0	 120.0	typical  	male  	EAR	  320.000	ug	/day   
folate    	 70.0	 120.0	typical  	male  	RDA	  400.000	ug	/day   
iodine    	  1.0	   3.0	child    	female	AI 	   90.000	ug	/day   
iodine    	  1.0	   3.0	child    	female	EAR	   65.000	ug	/day   
iodine    	  1.0	   3.0	child    	male  	AI 	   90.000	ug	/day   
iodine    	  1.0	   3.0	child    	male  	EAR	   65.000	ug	/day   
iodine    	  4.0	   8.0	child    	female	AI 	   90.000	ug	/day   
iodine    	  4.0	   8.0	child    	female	EAR	   65.000	ug	/day   
iodine    	  4.0	   8.0	child    	male  	AI 	   90.000	ug	/day   
iodine    	  4.0	   8.0	child    	male  	EAR	   65.000	ug	/day   
